week,gameId,teamId,unit,unit_snaps,starters_played,starter_snap_share,qb1,qb1_snaps,season
3,2024045,3430,offense,63,0,0.0,Aaron Rodgers,0.0,2024
3,2024045,3410,defense,63,0,0.0,,,2024
3,2024045,3410,offense,55,1,1.8,Daniel Jones,0.0,2024
3,2024045,3430,defense,55,0,0.0,,,2024
3,2024046,1050,offense,72,5,9.1,Deshaun Watson,0.0,2024
3,2024046,4600,defense,72,8,3.4,,,2024
3,2024046,4600,offense,43,8,11.6,Geno Smith,5.0,2024
3,2024046,1050,defense,43,3,4.4,,,2024
3,2024047,3300,offense,54,2,5.2,Derek Carr,0.0,2024
3,2024047,2100,defense,54,6,11.1,,,2024
3,2024047,2100,offense,66,10,32.5,Will Levis,17.0,2024
3,2024047,3300,defense,66,1,2.1,,,2024
3,2024048,3800,offense,62,0,0.0,Kyler Murray,0.0,2024
3,2024048,1400,defense,62,1,1.8,,,2024
3,2024048,1400,offense,58,1,3.3,Bo Nix,0.0,2024
3,2024048,3800,defense,58,0,0.0,,,2024
3,2024049,3200,offense,69,8,25.4,Jacoby Brissett,7.0,2024
3,2024049,5110,defense,69,0,0.0,,,2024
3,2024049,5110,offense,66,0,0.0,Jayden Daniels,0.0,2024
3,2024049,3200,defense,66,6,7.7,,,2024
0,2025001,4400,offense,58,3,4.2,Justin Herbert,0.0,2025
0,2025001,1540,defense,58,0,0.0,,,2025
0,2025001,1540,offense,45,0,0.0,Jared Goff,0.0,2025
0,2025001,4400,defense,45,1,0.8,,,2025
1,2025002,0325,offense,56,4,6.3,Lamar Jackson,0.0,2025
1,2025002,2200,defense,56,3,3.4,,,2025
1,2025002,2200,offense,75,4,13.8,Daniel Jones,29.0,2025
1,2025002,0325,defense,75,2,4.8,,,2025
1,2025003,0920,offense,58,10,21.8,Joe Burrow,15.0,2025
1,2025003,3700,defense,58,2,5.3,,,2025
1,2025003,3700,offense,70,2,2.3,Jalen Hurts,0.0,2025
1,2025003,0920,defense,70,7,11.3,,,2025
1,2025004,2520,offense,64,11,16.6,Geno Smith,4.0,2025
1,2025004,4600,defense,64,0,0.0,,,2025
1,2025004,4600,offense,63,5,14.1,Sam Darnold,0.0,2025
1,2025004,2520,defense,63,11,21.9,,,2025
1,2025005,0200,offense,34,2,11.5,Michael Penix Jr.,0.0,2025
1,2025005,1540,defense,34,1,3.7,,,2025
1,2025005,1540,offense,43,1,4.7,Jared Goff,0.0,2025
1,2025005,0200,defense,43,4,13.7,,,2025
1,2025006,1050,offense,63,2,2.0,Joe Flacco,0.0,2025
1,2025006,0750,defense,63,9,15.9,,,2025
1,2025006,0750,offense,48,9,23.1,Bryce Young,11.0,2025
1,2025006,1050,defense,48,6,11.9,,,2025
1,2025007,5110,offense,65,2,3.9,Jayden Daniels,0.0,2025
1,2025007,3200,defense,65,7,19.9,,,2025
1,2025007,3200,offense,59,9,15.4,Drake Maye,13.0,2025
1,2025007,5110,defense,59,2,5.2,,,2025
1,2025008,3410,offense,76,9,10.3,Russell Wilson,11.0,2025
1,2025008,0610,defense,76,7,15.6,,,2025
1,2025008,0610,offense,53,8,16.5,Josh Allen,0.0,2025
1,2025008,3410,defense,53,9,10.5,,,2025
1,2025009,3000,offense,62,9,16.3,J.J. McCarthy,12.0,2025
1,2025009,2120,defense,62,1,1.9,,,2025
1,2025009,2120,offense,48,4,11.7,C.J. Stroud,0.0,2025
1,2025009,3000,defense,48,4,10.0,,,2025
1,2025010,2250,offense,61,10,15.6,Trevor Lawrence,11.0,2025
1,2025010,3900,defense,61,3,6.7,,,2025
1,2025010,3900,offense,63,6,9.2,Aaron Rodgers,0.0,2025
